State,Group_A_Fiber,Group_B_Total,B_Fiber,B_HFC,Overlap_Total,Overlap_vs_Fiber,Overlap_vs_HFC,Pct_of_A
CA,1791084,5669474,185045,5484429,1621550,19083,1602467,90.5
NY,2302603,2818610,95067,2723543,1066208,11118,1055090,46.3
FL,1209100,3377675,184482,3193193,1030048,28004,1002044,85.2
VA,1160012,938878,49325,889553,535229,6846,528383,46.1
TX,876198,4944632,456865,4487767,520413,22485,497928,59.4
RI,269850,325267,26609,298658,261340,3076,258264,96.8
CT,835733,264894,6519,258375,194617,4275,190342,23.3
OH,204431,3607087,133774,3473313,149778,4009,145769,73.3
WI,63834,1663525,138974,1524551,59386,424,58962,93.0
MI,148924,1126850,45596,1081254,51639,296,51343,34.7
MA,914782,292410,8918,283492,49468,177,49291,5.4
NJ,1487551,37161,770,36391,32921,303,32618,2.2
NC,34026,3458726,283409,3175317,32342,1526,30816,95.1
TN,43533,850710,76801,773909,22749,2279,20470,52.3
IN,285500,555617,61340,494277,21721,1650,20071,7.6
SC,21898,1340479,160166,1180313,21640,214,21426,98.8
WV,246578,31808,215,31593,20013,60,19953,8.1
MN,25807,394896,8351,386545,16533,155,16378,64.1
IL,162005,265429,5444,259985,3068,0,3068,1.9
PA,2003416,141347,4070,137277,2329,29,2300,0.1
DC,106502,21,21,0,7,7,0,0.0
MD,1063027,4360,1187,3173,0,0,0,0.0
DE,219070,0,0,0,0,0,0,0.0
AZ,521,1844671,308427,1536244,0,0,0,0.0
IA,105,26567,699,25868,0,0,0,0.0
NV,192,885507,107837,777670,0,0,0,0.0
GA,38,799069,69203,729866,0,0,0,0.0
NE,21,501960,30595,471365,0,0,0,0.0
NH,1,81676,7339,74337,0,0,0,0.0
KS,0,645966,28390,617576,0,0,0,0
AL,0,940012,59604,880408,0,0,0,0
MO,0,1225791,83361,1142430,0,0,0,0
ME,0,469337,17157,452180,0,0,0,0
KY,0,1051179,57192,993987,0,0,0,0
OK,0,724597,97928,626669,0,0,0,0
AR,0,241899,22502,219397,0,0,0,0
MT,0,254800,7611,247189,0,0,0,0
LA,0,992418,73700,918718,0,0,0,0
CO,0,155606,3101,152505,0,0,0,0
HI,0,301549,6217,295332,0,0,0,0
OR,0,359584,27765,331819,0,0,0,0
ID,0,74632,3197,71435,0,0,0,0
WA,0,252744,11561,241183,0,0,0,0
VT,0,17438,499,16939,0,0,0,0
WY,0,132574,1513,131061,0,0,0,0
NM,0,12075,1652,10423,0,0,0,0
MS,0,16658,273,16385,0,0,0,0
TOTAL,15476342,44118165,2960271,41157894,5712999,106016,5606983,36.91
